Date,Montana,New Mexico,North Dakota,Wyoming
7/1/2016,231962.597,174627.3001,223435.4349,233908.3377
8/1/2016,232147.3403,174773.4964,222518.7951,233493.883
9/1/2016,232303.2263,174798.8175,221485.6874,232878.4669
10/1/2016,232561.7821,175195.9743,220691.3018,232613.3409
11/1/2016,233336.956,175697.2765,220333.6241,232684.6632
12/1/2016,234488.2891,176183.3221,220171.843,233097.2552
1/1/2017,235631.6753,176196.8047,219959.3024,233457.4407
2/1/2017,236786.6511,176283.4233,219989.2846,233587.0205
3/1/2017,237871.9408,176584.6352,219966.6116,233586.4556
4/1/2017,239338.1721,177377.0391,220152.8503,233830.0056
5/1/2017,240693.3749,178031.391,220180.5798,234073.0865
6/1/2017,242128.0391,178579.4814,220212.161,234315.8804
7/1/2017,243388.3787,179064.0291,220174.3344,234336.5159
8/1/2017,244767.5069,179462.565,219822.3013,234356.712
9/1/2017,245837.3163,179874.708,219321.751,234443.9186
10/1/2017,246863.6798,180265.6495,218690.9016,234714.0126
11/1/2017,247767.3438,180858.4179,218129.0078,235115.4327
12/1/2017,248865.1938,181456.3993,217507.8451,235621.1207
1/1/2018,249943.2498,181908.7569,216991.5942,236034.8127
2/1/2018,251007.441,182400.1192,216648.2023,236245.9868
3/1/2018,252391.995,183066.0091,216766.7169,236609.1672
4/1/2018,253842.2385,183707.8429,216754.7715,236767.5725
5/1/2018,255395.518,184237.9513,216622.147,237033.8414
6/1/2018,256691.362,184635.9529,215942.5705,236960.0875
7/1/2018,258183.5754,185396.916,215522.4162,237523.1202
8/1/2018,259531.8975,186356.9917,215055.7295,238288.1374
9/1/2018,260776.7111,187518.5243,214872.5369,239441.5237
10/1/2018,261657.6186,188319.7448,214453.9022,240189.0918
11/1/2018,262529.8852,189116.2285,214149.3961,240820.4476
12/1/2018,263210.342,189793.1173,213818.8348,241221.1337
1/1/2019,263963.049,190587.5819,213877.5809,241753.1509
2/1/2019,264828.6007,191284.1189,214479.1696,242586.0191
3/1/2019,266175.1434,192103.9375,215382.1138,243852.6005
4/1/2019,267680.8681,193125.4796,216148.4998,245315.0167
5/1/2019,269020.2596,194349.8312,216783.0585,246585.2365
6/1/2019,270194.6962,195473.2377,217685.4733,247984.6294
7/1/2019,271361.0064,196373.614,218662.304,249358.3406
8/1/2019,272890.2749,197071.1652,219371.3453,251011.9134
9/1/2019,274176.3905,197638.8275,219631.1895,252222.1258
10/1/2019,275361.9066,198345.3387,220050.3531,253537.5736
11/1/2019,276585.7101,199419.2074,220708.4422,254909.7159
12/1/2019,277994.922,200851.4646,221542.1019,256650.2821
1/1/2020,279865.5853,202341.6931,221883.441,257881.7613
2/1/2020,282011.4972,203538.068,222112.6227,258829.9041
3/1/2020,284771.8445,204758.7111,222370.8234,259720.9127
4/1/2020,287296.2265,206023.383,223052.8122,260989.0445
5/1/2020,288863.1631,207175.1382,223505.4333,262109.1174
6/1/2020,289495.3564,208309.1347,223782.7634,262976.1151
7/1/2020,290377.5485,209821.5629,224083.2054,263904.638
8/1/2020,292610.2105,211970.0599,224841.4164,265405.4404
9/1/2020,296653.9243,214832.2805,226469.5389,267610.5172
10/1/2020,301577.8324,217962.6894,227652.2156,270006.1314
11/1/2020,307596.0339,221047.9837,228615.1017,272753.963
12/1/2020,314102.59,223864.438,228888.0196,275281.7936
1/1/2021,320787.3772,226617.2201,229308.3113,277702.0647
2/1/2021,327837.9161,229824.7622,229849.5154,280096.7749
3/1/2021,335640.0762,233269.4608,230309.51,282850.0932
4/1/2021,344491.0288,236894.489,231198.4364,285869.5603
5/1/2021,354491.4742,240487.1455,232743.5596,288700.4565
6/1/2021,364532.921,244125.6063,234971.5638,291144.4489
7/1/2021,373562.1805,247334.2074,237093.1853,293342.5227
8/1/2021,380831.7213,249838.6188,238512.2924,295327.3775
9/1/2021,386316.0272,251422.8873,239041.3036,297064.7764
10/1/2021,391419.5631,252795.038,239506.7822,299147.4801
11/1/2021,396665.1693,254598.0498,240274.4922,301752.9761
12/1/2021,402438.0649,256931.3524,241620.9915,304633.3043
1/1/2022,409813.4493,260296.7068,243678.6601,307992.8759
2/1/2022,417871.0109,264688.752,245504.6738,311150.6463
3/1/2022,427502.6021,270021.7241,247379.4819,314874.4585
4/1/2022,437674.0761,275162.6953,249417.3151,318307.6834
5/1/2022,447161.9474,279345.7412,251623.2692,321671.2139
6/1/2022,454576.8224,282884.212,253953.9789,325025.7692
7/1/2022,457082.9237,285130.3747,255124.3007,327469.249
8/1/2022,455644.0316,285923.0906,255684.207,328683.1496
9/1/2022,451318.4201,285265.5859,255315.2051,328574.0734
10/1/2022,447611.2285,284533.6984,255401.7573,328919.1597
11/1/2022,444655.5964,284049.8267,255689.6105,329627.4288
12/1/2022,442061.6563,283973.992,255747.7725,330108.0454
1/1/2023,438046.5298,283829.8624,254842.4171,329754.9374
2/1/2023,434155.8299,284029.0123,253551.1213,329215.3111
3/1/2023,432056.5259,284729.6214,252985.5587,329273.7105
4/1/2023,433582.8256,286346.9046,253504.3957,330211.772
5/1/2023,437330.6663,288432.3755,254559.0682,331936.439
6/1/2023,441612.101,290420.1631,255724.9678,333982.2968
7/1/2023,445109.0393,292063.4057,256225.0045,335664.9595
8/1/2023,447766.449,293618.8692,256484.4472,337315.4768
9/1/2023,449692.423,294966.3557,255930.8034,338652.6452
10/1/2023,450824.5816,296129.4095,255034.4456,339933.8351
11/1/2023,451181.7685,297005.2968,253934.2282,340340.1672
12/1/2023,451023.1658,297549.0908,252594.0472,339983.6886
1/1/2024,451513.6186,298056.1762,251886.6058,339460.2084
2/1/2024,453481.9975,298668.2903,251996.9548,339713.6816
3/1/2024,456198.7971,300226.9407,253394.8697,340932.5521
